,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,0 mi,1C4HJXDN6NW243959,W243959,"$40,359",San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35<br>San Antonio, TX 78233"
1,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White,Black,0 mi,1C4HJXDNXNW253569,253569,"$42,125",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079"
2,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Gray,Black,0 mi,1C4HJXDN8NW242280,53885325,"$43,379",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035"
3,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Black,Black,0 mi,1C4HJXDG9NW226056,53885323,"$43,879",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035"
4,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,7 mi,1C4HJXDG8NW241924,J18093,"$44,575",Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758"
5,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray,Black,0 mi,1C4HJXDG6NW224829,52623342,"$45,279",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035"
6,Jeep,Wrangler,2021,Willys 4WD,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,8 mi,1C4HJXDNXMW815680,W815680,"$46,034",San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35<br>San Antonio, TX 78233"
7,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Gray,Black,0 mi,1C4HJXDNXNW201424,52622772,"$46,219",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035"
8,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4HJXDG3NW151337,NW151337,"$46,345",Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607"
9,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Black,Black,0 mi,1C4HJXDM8NW231982,231982,"$46,775",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079"
10,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White Clearcoat,Black,10 mi,1C4HJXDN5NW251504,NW251504,"$46,810",Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750"
11,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Black Clearcoat,Black,10 mi,1C4HJXDN1NW251502,NW251502,"$47,205",Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750"
12,Jeep,Wrangler,2022,High Tide 4WD,SUV / crossover,Bright White,Brown (Heritage Tan/Black),0 mi,1C4HJXDGXNW231427,231427,"$47,570",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079"
