,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Black Clearcoat,Black,2 mi,1C4GJXAN8NW223826,223826,"$41,305",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,2 mi,1C4GJXAN1NW223828,223828,"$41,442",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
2,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White,Black,0 mi,1C4GJXAN2NW186076,186076,"$42,065",Richardson Chrysler Jeep Dodge Ram,"1321 N Central Expy Richardson, TX 75080"
3,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sarge Green Clearcoat,Black,4 mi,1C4GJXAG3NW268061,268061,"$42,555",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116"
4,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sting-Gray,Black,0 mi,1C4GJXAN4NW186077,186077,"$42,560",Richardson Chrysler Jeep Dodge Ram,"1321 N Central Expy Richardson, TX 75080"
5,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4GJXAN2NW247393,F0824,"$43,525",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
6,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4GJXAN6NW243704,F0677,"$44,025",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
7,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,12 mi,1C4HJXAG8NW235481,J16075,"$44,119",Foundation Chrysler Dodge Jeep Ram - Wichita Falls,"2900 Old Jacksboro Hwy Wichita Falls, TX 76302"
8,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,2 mi,1C4GJXANXNW223830,223830,"$44,297",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
9,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White Clearcoat,Black,2 mi,1C4GJXAG1NW223829,223829,"$44,402",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
10,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,4 mi,1C4HJXCG0NW264731,W264731,"$45,085",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116"
11,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White Clearcoat,,5 mi,1C4GJXAN8NW242263,NW242263,"$45,125",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087"
12,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Black Clearcoat,,5 mi,1C4GJXAN5NW197069,NW197069,"$45,420",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087"
13,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXCG4NW220392,NW220392,"$45,450",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
14,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Yellow (High Velocity Clearcoat),Yellow (A7x9),,1C4HJXAG6NW201460,52680321,"$45,460",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
15,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sarge Green Clearcoat,Black,2 mi,1C4GJXAN5NW206501,G220257,"$47,150",Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301"
16,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Gray,Black,6 mi,1C4HJXCG2NW201906,53165216,"$45,945",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
17,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4HJXAG7NW197533,F0648,"$47,365",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
18,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXCN3NW247338,NW247338,"$48,340",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
19,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Red,Black,0 mi,1C4HJXCN0NW196137,53165436,"$50,535",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
20,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4HJXCG5NW242823,NW242823,"$51,135",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
21,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Black Clearcoat,Black,15 mi,1C4HJXCG4NW180850,NW180850,"$51,273",Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
22,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Black Clearcoat,Black,3 mi,1C4HJXCG4NW253151,NW253151,"$51,985",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
23,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,7 mi,1C4HJXCG9NW242825,NW242825,"$51,985",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
24,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,7 mi,1C4HJXCG3NW242822,NW242822,"$51,985",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
25,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4HJXCG7NW242824,NW242824,"$51,985",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
26,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Bright White Clearcoat,Black,7 mi,1C4HJXCG6NW253152,NW253152,"$53,990",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
27,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Sarge Green,Black,0 mi,1C4HJXCG8NW180883,180883,"$53,125",Dodge City of McKinney,"700 South Central Expressway Mckinney, TX 75070"
