,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Bright White Clearcoat,Black,15 mi,1C4JJXR61NW152861,NW152861,"$68,237",Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
1,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4JJXR66NW214819,NW214819,"$68,501",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
2,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Sarge Green Clearcoat,Black,,1C4JJXR6XNW239562,NW239562,"$68,698",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
3,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Black Clearcoat,Black,,1C4JJXR6XNW245653,NW245653,"$68,856",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
4,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,0 mi,1C4JJXR62NW222268,W222268,"$69,884",San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
5,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4JJXR6XNW233776,NW233776,"$70,363",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
6,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Black Clearcoat,Black,,1C4JJXR69NW249709,NW249709,"$71,593",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
7,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4JJXR64NW158590,NW158590,"$72,228",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
8,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Sarge Green Clearcoat,Black,,1C4JJXR68NW245652,NW245652,"$72,762",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
9,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Sting-Gray Clearcoat,Dark Saddle/Black,15 mi,1C4JJXP66NW156021,NW156021,4WD,Mac Haik Dodge Chrysler Jeep-Georgetown,"5255 S Interstate 35 Georgetown, TX 78626"
