,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
23,Ford,Bronco,2022,SUV  crossover,Shadow Black,Dark Space Gray,0,1FMEE5DHXNLB10494,NLB10494,56010,Westway Ford,801 W. Airport Fwy. Irving TX 75062,Badlands Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
24,Ford,Bronco,2022,SUV  crossover,Race Red,Dark Space Gray,0,1FMEE5BP2NLB40311,NLB40311,56460,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
25,Ford,Bronco,2022,SUV  crossover,Oxford White,Dark Space Gray,0,1FMEE5BP2NLB40390,NLB40390,56765,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
26,Ford,Bronco,2022,SUV  crossover,VELOCITY BLUE,Blue SANDSTONE,3,1FMEE5DP4NLB30943,F11665,56789,DeMontrond Ford,3944 US 59 S Cleveland TX 77328,,,,,0,,,,,,,,,,,,,
27,Ford,Bronco,2022,SUV  crossover,Carbonized Gray Metallic,Dark Space Gray,0,1FMEE5BP9NLB46851,NLB46851,57960,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
28,Ford,Bronco,2022,SUV  crossover,Oxford White,Dark Space Gray,0,1FMEE5DH7NLB05611,NLB05611,58730,Westway Ford,801 W. Airport Fwy. Irving TX 75062,Badlands Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
29,Ford,Bronco,2021,SUV  crossover,Oxford White,Dark Space Gray,61,1FMEE5DP0MLB02135,MLB02135,59815,Grapevine Ford Lincoln,801 E State Highway 114 Grapevine TX 76051,,,,,0,,,,,,,,,,,,,
30,Ford,Bronco,2022,SUV  crossover,Cactus Gray,Dark Space Gray,0,1FMDE5BH5NLB16055,T37119,59965,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
31,Ford,Bronco,2022,SUV  crossover,Cactus Gray,CLOTH GRAYNAVY SEATS BLACK ONYX INTERIOR,0,1FMDE5AP1NLB44511,NLB44511,60100,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks 2Door 4WD,,,,0,,,,,,,,,,,,,
32,Ford,Bronco,2022,SUV  crossover,Carbonized Gray,Dark Space Gray,0,1FMDE5BH1NLB27182,T37292,60460,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
33,Ford,Bronco,2022,SUV  crossover,Velocity Blue,Dark Space Gray,0,1FMDE5BH9NLB39290,NLB39290,60950,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks 4Door 4WD,,,,0,,,,,,,,,,,,,
34,Ford,Bronco,2022,SUV  crossover,Cactus Gray,LTHRTRMVINYL SSTONEBLK STS BLACK ONYX INTERIOR,0,1FMEE5DP6NLB31804,NLB31804,61430,Westway Ford,801 W. Airport Fwy. Irving TX 75062,,,,,0,,,,,,,,,,,,,
35,Ford,Bronco,2022,SUV  crossover,Shadow Black,Dark Space Gray,0,1FMEE5DP0NLB43298,NLB43298,63970,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
36,Ford,Bronco,2022,SUV  crossover,Shadow Black,LTHRTRMVINYL GRAYNAVY STS BLACK ONYX INTERIOR,0,1FMDE5AP2NLB44422,NLB44422,66550,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks 2Door 4WD,,,,0,,,,,,,,,,,,,
37,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMEE5DP2NLA84321,NLA84321,67335,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
38,Ford,Bronco,2022,SUV  crossover,Velocity Blue,,66,1FMDE5BH6NLB13259,1060,70823,Electro Car,2000 Southwest 5th Street Lincoln NE 68522,,,,,0,,,,,,,,,,,,,
39,Ford,Bronco,2022,SUV  crossover,Oxford White,Dark Space Gray,2,1FMEE5BP8NLA75917,NLA75917,66540,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Outer Banks 4Door 4WD,,,,0,,,,,,,,,,,,,
40,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMDE5DH7NLB25868,T37293,72430,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Outer Banks Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
