,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Cabin Size:,NHTSA Overall Safety Rating:
14,No Price Listed,,,Not Provided,"Waxahachie, TX
28 mi away",0 miles,,Sting-Gray Clear-Coat Exterior Paint,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW197989,,New,4WD,Wrangler,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",,
15,No Price Listed,,,Not Provided,"Waxahachie, TX
28 mi away",0 miles,,Black Clear-Coat Exterior Paint,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW227951,,New,4WD,Wrangler,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",,
16,No Price Listed,,,"$62,460","Lewisville, TX
21 mi away",5 miles,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW249324,22WG1396,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",,
17,No Price Listed,,,"$62,460","Lewisville, TX
21 mi away",5 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW249323,22WG1397,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",,
18,No Price Listed,,,"$61,170","Lewisville, TX
21 mi away",5 miles,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW231487,22WG1526,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",,
19,No Price Listed,,,"$61,170","Lewisville, TX
21 mi away",5 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW231486,22WG1546,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",,
20,No Price Listed,,,"$61,070","Lewisville, TX
21 mi away",5 miles,8-Speed Automatic,Bright White Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW207637,22WG1547,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",,
21,No Price Listed,,,"$62,565","Dallas, TX
18 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW178174,NW178174,New,4WD,Wrangler,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",,
22,No Price Listed,,,"$66,145","Plano, TX
27 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW124959,22J0275,New,4WD,Wrangler,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093",,
23,"$40,869",Free,"$40,869","$40,869","Altus, OK
179 mi away",13 miles,Automatic,White,Black,"18 MPG City
24 MPG Highway
20 MPG Combined",,348 hp 3.5L V6,4X2,Gasoline,5TFKB5AA2NX012107,NX012107,New,"$40,869",Tundra,Four Stars Toyota,"2600 E Broadway St Altus, OK 73521",Crew Cab,
24,"$47,511",,,"$47,511","Mckinney, TX
40 mi away",5 miles,Automatic,Celestial Silver Metallic,Silver (Boulder),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB9NX008331,33508261Z,New,"$47,511",Tundra,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070",Large Crew Cab,
25,"$47,892",,,"$47,892","Weatherford, TX
32 mi away",6 miles,Automatic,White,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5BC2NX001986,NX001986,New,"$47,892",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
26,"$48,957",,,"$48,957","Arlington, TX
4 mi away",1 miles,Automatic,Army Green,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX111468,B11A468,New,"$48,957",Tundra,Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011",Large Crew Cab,
27,"$50,073",,,"$48,957","Grapevine, TX
13 mi away",0 miles,Automatic,Midnight Black,Black (BOULDER),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX012214,NX012214,New,"$50,073",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
