,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
27,Ford,Maverick,2022,,Coupe,Blue (Area 51),Desert Brown,0 mi,3FTTW8E34NRA79399,NW8E6000*O,"$34,085",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
28,Ford,Maverick,2022,,Coupe,Alto Blue Tinted Clearcoat Metallic,Desert Brown,0 mi,3FTTW8F9XNRA75974,NW8F6569*O,"$36,250",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
29,Ford,Maverick,2022,,Coupe,Hot Pepper Red Tinted Clearcoat Metallic,Desert Brown,0 mi,3FTTW8F93NRA78571,NW8F6594*O,"$36,445",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
30,Ford,Maverick,2022,,Coupe,Velocity Blue Metallic,Desert Brown,0 mi,3FTTW8F98NRA83751,NW8F7207*O,"$36,970",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
31,Ford,Maverick,2022,Lariat SuperCrew AWD,Pickup truck,Alto Blue Tinted Clearcoat Metallic,6N/DESERT BROWN,5 mi,3FTTW8F98NRA82177,NRA82177,"$40,030",Sterling McCall Ford,"6445 Southwest Fwy<br>Houston, TX 77074"
32,Ford,Maverick,2022,XLT SuperCrew FWD,Pickup truck,Hot Pepper Red Tinted Clearcoat Metallic,Cloth Blue,5 mi,3FTTW8E3XNRA80198,J35BW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
33,Ford,Maverick,2022,XLT SuperCrew FWD,Pickup truck,Iconic Silver Metallic,Cloth Blue,5 mi,3FTTW8E36NRA79789,E09SW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
34,Ford,Maverick,2022,XLT SuperCrew FWD,Pickup truck,Alto Blue Tinted Clearcoat Metallic,Cloth Blue,5 mi,3FTTW8E38NRA79633,L10CW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
35,Ford,Maverick,2022,XLT SuperCrew FWD,Pickup truck,Blue (Area 51),Cloth Blue,5 mi,3FTTW8E35NRA79749,M50ZW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
36,Ford,Maverick,2022,Lariat SuperCrew AWD,Pickup truck,Hot Pepper Red Tinted Clearcoat Metallic,Vinyl Desert Brown,5 mi,3FTTW8F98NRA85483,C80WW8F,AWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
37,Ford,Maverick,2022,Lariat SuperCrew FWD,Pickup truck,Carbonized Gray Metallic,Vinyl Desert Brown,5 mi,3FTTW8E39NRA90270,A50CW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
38,Ford,Maverick,2022,Lariat SuperCrew FWD,Pickup truck,Shadow Black,Vinyl Desert Brown,5 mi,3FTTW8E38NRA91331,R24PW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
39,Ford,Maverick,2022,Lariat SuperCrew FWD,Pickup truck,Shadow Black,Vinyl Desert Brown,5 mi,3FTTW8E30NRA92585,A77DW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
40,Ford,Maverick,2022,Lariat SuperCrew FWD,Pickup truck,Cactus Gray,Vinyl Desert Brown,5 mi,3FTTW8E30NRA94966,D63BW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
41,Ford,Maverick,2022,XLT SuperCrew FWD,Pickup truck,Iconic Silver Metallic,Cloth Blue,5 mi,3FTTW8E34NRA90841,J06LW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
42,Ford,Maverick,2022,Lariat SuperCrew FWD,Pickup truck,Iconic Silver Metallic,Vinyl Desert Brown,5 mi,3FTTW8E35NRA94932,J90LW8E,FWD,Tomball Ford,"22702 Tomball Parkway<br>Tomball, TX 77375"
43,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),13 mi,1GT40FDA3NU100794,NU100794,"$112,839",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
44,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA6NU100305,NU100305,"$114,590",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
45,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA1NU100552,NU100552,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
46,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA4NU100674,NU100674,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
47,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),13 mi,1GT40FDA4NU100688,NU100688,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
48,GMC,Hummer,2022,Edition 1 Crew Cab AWD,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),5 mi,1GT40FDA3NU100407,NU100407,"$115,439",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074"
49,Chevrolet,Blazer,2022,Premier FWD,SUV / crossover,Black,,2 mi,3GNKBFRS5NS189150,2250529,"$42,141",Westside Chevrolet,"23001 Katy Fwy<br>Katy, TX 77450"
50,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,White,Black,0 mi,3GNKBCR40NS202323,22526,"$34,100",Neessen Chevrolet Buick GMC Truck,"2007 S US Highway 77 Byp<br>Kingsville, TX 78363"
51,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,Black,Jet Black,,3GNKBCR49NS196781,S196781,"$35,925",Red River Chevrolet,"221 Traffic St<br>Bossier City, LA 71111"
52,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,Silver Ice Metallic,"Jet Black, Premium Cloth seat trim",3 mi,3GNKBCR46NS189819,WNS189819,"$36,590",Classic Chevrolet Sugar Land,"13115 Southwest Fwy<br>Sugar Land, TX 77478"
53,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,Black,Jet Black,2 mi,3GNKBCR43NS200923,200923,"$37,191",Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840"
54,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,White,,8 mi,3GNKBCR40NS200488,02280653,"$36,685",Robbins Chevrolet,"18611 Hwy 59 N<br>Humble, TX 77338"
55,Chevrolet,Blazer,2022,3LT FWD,SUV / crossover,Summit White,Jet Black,,3GNKBDRS9NS185722,C34735,"$42,090",Demontrond Chevrolet,"3220 Gulf Fwy<br>Texas City, TX 77591"
56,Chevrolet,Blazer,2022,3LT FWD,SUV / crossover,Black,Jet Black,2 mi,3GNKBDRS8NS185047,NS185047,"$41,441",Demontrond Chevrolet,"3220 Gulf Fwy<br>Texas City, TX 77591"
57,Chevrolet,Blazer,2022,Premier FWD,SUV / crossover,Black,,2 mi,3GNKBFRS5NS189150,2250529,"$42,141",Westside Chevrolet,"23001 Katy Fwy<br>Katy, TX 77450"
58,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Silver Ice Metallic,Jet Black,2 mi,3GNKBERS4NS145909,NS145909,"$43,442",Classic Chevrolet of Houston,"7000 Southwest Fwy<br>Houston, TX 77074"
59,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Black,Jet Black,,3GNKBERS1NS188720,188720,"$44,165",Martin Chevrolet Buick GMC,"420 W. Southline St.<br>Cleveland, TX 77327"
60,Chevrolet,Blazer,2022,3LT AWD,SUV / crossover,Silver,Black,271 mi,3GNKBJRS1NS124962,2001707982,"$44,990",Carvana,"420 W. Southline St.<br>Cleveland, TX 77327"
61,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Black,Jet Black,7 mi,3GNKBERS5NS190079,Z2395,"$47,467",Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554"
62,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Red Hot,Jet Black,2 mi,3GNKBERS2NS203029,NS203029,"$47,670",El Dorado Chevrolet,"2300 North Central Expressway<br>Mckinney, TX 75070"
63,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Black,Jet Black,10 mi,3GNKBERS8NS196409,C220952,"$46,901","Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154"
64,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Red Hot,Jet Black,10 mi,3GNKBERS7NS196885,C220951,"$47,451","Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154"
65,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,White (Iridescent Pearl Tricoat),Jet Black,10 mi,3GNKBERS2NS196860,C220980,"$48,026","Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154"
66,Chevrolet,Blazer,2022,Premier FWD,SUV / crossover,Blue Glow Metallic,Jet Black/Maple Sugar,6 mi,3GNKBFRSXNS146813,T220708,"$49,413",Service Chevrolet Cadillac,"1212 Ambassador Caffery Pky<br>Lafayette, LA 70506"
67,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,White,,2 mi,3GNKBERS4NS203386,02280689,"$48,505",Robbins Chevrolet,"18611 Hwy 59 N<br>Humble, TX 77338"
68,Chevrolet,Blazer,2022,Premier AWD,SUV / crossover,Cherry Red Tintcoat,Jet Black,5 mi,3GNKBLRS1NS186146,Z2399,"$50,287",Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554"
69,Chevrolet,Blazer,2022,Premier AWD,SUV / crossover,Iron Gray Metallic,Jet Black,5 mi,3GNKBLRS3NS205456,Z2405,"$51,502",Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554"
70,Chevrolet,Blazer,2022,Premier FWD,SUV / crossover,Cherry Red Tintcoat,Jet Black/Maple Sugar,5 mi,3GNKBFRS7NS184791,220482,"$51,648",Patriot Chevrolet,"3800 Se Adams Rd<br>Bartlesville, OK 74006"
71,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Silver Ice Metallic,Jet Black Perforated Leather Appointed Seat Trim,0 mi,3GNKBERS5NS185089,,"$43,879",Turner Chevrolet,"21001 Crosby Fwy<br>Crosby, TX 77532"
72,Chevrolet,Blazer,2022,2LT FWD,SUV / crossover,Black,Jet Black Premium Cloth Seat Trim,3 mi,3GNKBCR43NS201134,NS201134,FWD,Knapp Chevrolet,"815 Houston Ave<br>Houston, TX 77007"
73,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Red Hot,Jet Black Perforated Leather Appointed Seat Trim,3 mi,3GNKBERS7NS200787,NS200787,FWD,Knapp Chevrolet,"815 Houston Ave<br>Houston, TX 77007"
74,Chevrolet,Blazer,2022,RS FWD,SUV / crossover,Black,Jet Black Perforated Leather Appointed Seat Trim,5 mi,3GNKBERS3NS185768,NS185768,FWD,Knapp Chevrolet,"815 Houston Ave<br>Houston, TX 77007"
75,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Black Clearcoat,Black,10 mi,1C4GJXAG7NW181957,NW181957,"$42,070",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578"
76,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,10 mi,1C4HJXAG7NW204349,NW204349,"$44,415",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578"
77,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Black,Black,0 mi,1C4GJXAN0NW257291,257291,"$34,175",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079"
78,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,11 mi,1C4GJXAG3NW200794,E9247,"$36,109",Finnegan Chrysler Jeep Dodge,"26433 Southwest Fwy<br>Rosenberg, TX 77471"
79,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,0 mi,1C4HJXAG3NW235081,NW235081,"$37,330",Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338"
80,Jeep,Wrangler,2022,Sport 4WD,SUV / crossover,Hydro Blue Pearlcoat,Black,17 mi,1C4GJXAN4NW201306,J20133,"$38,065",Mac Haik 45 Dodge Chrysler Jeep Ram Houston,"11000 North Fwy<br>Houston, TX 77037"
81,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Brown (Heritage Tan/Black),0 mi,1C4GJXAN6NW267372,NW267372,"$38,280",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098"
