,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,5 mi,1C4HJXDN8NW204340,NW204340,"$44,030",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
1,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Black Clearcoat,Black,0 mi,1C4HJXDN6NW211996,NW211996,"$44,325",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098"
2,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Bright White Clearcoat,Black,20 mi,1C4HJXDGXNW180141,52081768,"$44,530",Momentum Chrysler Dodge Jeep Ram,"3704 NE I 10 Frontage Rd Sealy, TX 77474"
3,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,0 mi,1C4HJXDNXNW190912,NW190912,"$44,670",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098"
4,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White Clearcoat,Black,0 mi,1C4HJXDG6NW257619,NW257619,"$44,680",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098"
5,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4HJXDG3NW165268,252016,"$45,120",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098"
6,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Hydro Blue Pearlcoat,Black,0 mi,1C4HJXDN0NW238692,NW238692,"$45,170",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098"
7,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,5 mi,1C4HJXDG6NW196496,NW196496,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
8,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG5NW196490,NW196490,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
9,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG7NW196491,NW196491,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
10,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG9NW196492,NW196492,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
11,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Sting-Gray Clearcoat,Black,5 mi,1C4HJXDG8NW196497,NW196497,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
12,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,White,Black,48 mi,1C4HJXDM7NW252449,0J220745,"$45,330",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
13,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Black,Black,1 mi,1C4HJXDM5NW252448,0J220706,"$45,725",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
14,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray,Black,1 mi,1C4HJXDM4NW252456,0J220753,"$45,725",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
15,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4HJXDN5NW226506,NW226506,"$45,745",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578"
16,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Black,Black,24 mi,1C4HJXDG5NW180130,B220959,"$46,015",Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy Pasadena, TX 77503"
17,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray,Black,1 mi,1C4HJXDM2NW252455,0J220776,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
18,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Red,Black,1 mi,1C4HJXDM9NW225642,0J220814,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
19,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Green,Black,1 mi,1C4HJXDM7NW252452,0J220813,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099"
20,Jeep,Wrangler,2022,Sport Altitude 4WD,SUV / crossover,Silver Zynith,Black,0 mi,1C4HJXDG6NW179939,179939,"$46,555",Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy Pasadena, TX 77503"
21,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Black,Black,0 mi,1C4HJXDM8NW231982,231982,"$46,775",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
22,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Silver Zynith Clearcoat,Black,19 mi,1C4HJXDM6NW259103,NW259103,"$46,925",Yaklin Chrysler Dodge Jeep Ram of Angleton,"1212 S Velasco St Angleton, TX 77515"
23,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Gray (Granite Crystal),Black,0 mi,1C4HJXDN4NW240056,240056,"$46,960",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521"
24,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Bright White,Black,0 mi,1C4HJXDN2NW240055,240055,"$47,115",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521"
25,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Bright White Clearcoat,White (A7x9),,1C4HJXDG6NW240173,52637645,"$47,140",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
26,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Bright White Clearcoat,White (A7x9),,1C4HJXDG1NW240176,52637648,"$47,140",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
27,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXDN9NW251568,52637406,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
28,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4HJXDN5NW251566,52637404,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
29,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXDN0NW251569,52637407,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
30,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4HJXDN7NW251567,52637405,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
31,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sting-Gray,Black,0 mi,1C4HJXDN8NW240058,240058,"$47,510",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521"
32,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Silver Zynith Clearcoat,Silver (A7x9),,1C4HJXDGXNW240175,52637647,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
33,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Sarge Green Clearcoat,Green (A7x9),,1C4HJXDG8NW240174,52637646,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
34,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Hydro Blue Pearl Coat,Blue (A7x9),,1C4HJXDG4NW240172,52637644,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
35,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Gray (granite crystal metallic clearcoat),Gray (A7x9),,1C4HJXDG2NW240171,52637643,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
36,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Sting-Gray Clearcoat,Gray (A7x9),,1C4HJXDG3NW240177,52637649,"$47,535",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375"
37,Jeep,Wrangler,2022,High Tide 4WD,SUV / crossover,Bright White,Brown (Heritage Tan/Black),0 mi,1C4HJXDGXNW231427,231427,"$47,570",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
