,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
53,"$110,295","$110,295","Villa Park, IL
970 mi away",8 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA4NU100450,B44982,New,"$110,295",Hummer,Haggerty Buick GMC Inc,"300 W Roosevelt Rd<br>Villa Park, IL 60181",,,"16 hr charge time, 329 mi range",
54,"$110,295","$110,295","Burley, ID
1,228 mi away",10 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA6NU100367,9N457,New,"$110,295",Hummer,Haggerty Buick GMC Inc,"300 W Roosevelt Rd<br>Villa Park, IL 60181",,,"16 hr charge time, 329 mi range",
55,"$111,144","$111,144","Portland, OR
1,711 mi away",8 miles,Automatic,INTERSTELLAR WHITE,JET BLACK/LIGHT GREY,,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA2NU100253,NU100253,New,"$111,144",Hummer,Buick GMC of Beaverton,"9155 SW Canyon Road<br>Portland, OR 97225",,,"16 hr charge time, 329 mi range",
56,"$112,839","$112,839","Houston, TX
138 mi away",13 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA3NU100794,NU100794,New,"$112,839",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
57,"$113,744","$113,744","Anaheim, CA
1,201 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDAXNU100422,22T00422,New,"$113,744",Hummer,Hardin Buick GMC,"1321 Auto Center Dr<br>Anaheim, CA 92806",,,"16 hr charge time, 329 mi range",
58,No Price Listed,Not Provided,"Tampa, FL
944 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDAXNU100341,N1591,New,AWD,Hummer,Rivard Buick GMC,"9740 Adamo Dr<br>Tampa, FL 33619",,,"16 hr charge time, 329 mi range",
59,"$114,290","$114,290","Twin Falls, ID
1,256 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA8NU100645,G22158,New,"$114,290",Hummer,Rivard Buick GMC,"9740 Adamo Dr<br>Tampa, FL 33619",,,"16 hr charge time, 329 mi range",
60,"$114,590","$114,590","Houston, TX
138 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA6NU100305,NU100305,New,"$114,590",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
61,"$115,139","$115,139","Olathe, KS
620 mi away",0 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,,All-Wheel Drive,Electric,Crew Cab,1GT40FDAXNU100517,60517,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
62,"$115,139",Not Provided,"Dover, DE
1,399 mi away",3 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA3NU100729,20239,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
63,"$115,139","$115,139","Houston, TX
138 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA1NU100552,NU100552,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
64,"$115,139","$115,139","Houston, TX
138 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA4NU100674,NU100674,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
65,"$115,139","$115,139","Houston, TX
138 mi away",13 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA4NU100688,NU100688,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
66,"$115,139","$115,139","Cincinnati, OH
975 mi away",---,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA6NU100756,NU100756,New,"$115,139",Hummer,Mark Sweeney Buick GMC,"3365 Highland Ave<br>Cincinnati, OH 45213",,,"16 hr charge time, 329 mi range",
67,"$115,439","$115,439","Houston, TX
138 mi away",5 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA3NU100407,NU100407,New,"$115,439",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D<br>Houston, TX 77074",,,"16 hr charge time, 329 mi range",
68,No Price Listed,Not Provided,"Southfield, MI
1,166 mi away",0 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA6NU100658,ZJFSDZ,New,AWD,Hummer,Art Moran Buick GMC,"29300 Telegraph Rd<br>Southfield, MI 48034",,,"16 hr charge time, 329 mi range",
69,No Price Listed,Not Provided,"Englewood, NJ
1,519 mi away",2 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA9NU100427,23835,New,AWD,Hummer,Quality Chevrolet Buick GMC,"386 Grand Ave<br>Englewood, NJ 07631",,,"16 hr charge time, 329 mi range",
70,No Price Listed,"$114,590","Renton, WA
1,760 mi away",3 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDAXNU100467,G2221,New,AWD,Hummer,Brotherton Cadillac Buick GMC in Renton,"215 SW 12th Street<br>Renton, WA 98055",,,"16 hr charge time, 329 mi range",
71,No Price Listed,"$112,839","Bellevue, WA
1,764 mi away",3 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA1NU100471,G30017,New,AWD,Hummer,Buick GMC of Bellevue,"13400 Northeast 20th Street<br>Bellevue, WA 98005",,,"16 hr charge time, 329 mi range",
72,No Price Listed,Not Provided,"Lincolnwood, IL
986 mi away",6 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,,All-Wheel Drive,Electric,Crew Cab,1GT40FDA4NU100657,M22147,New,AWD,Hummer,Zeigler Buick GMC of Lincolnwood,"6900 N McCormick Blvd<br>Lincolnwood, IL 60712",,,"16 hr charge time, 329 mi range",
73,No Price Listed,Not Provided,"Escondido, CA
1,152 mi away",404 miles,Automatic,White,White (No Color),,,All-Wheel Drive,Electric,"Crew Cab, Short Bed",1GT40FDA1NU100163,28122,New,AWD,Hummer,Quantum Auto Sales,"728 N. Escondido Blvd.<br>Escondido, CA 92025",,,"16 hr charge time, 329 mi range",
