vin,msrp,dealer's price,price,make,model,year,transmission,mileage,dealer name,dealer address,lat,lng
1C4HJXCG7NW225733,50190,50190,50190,Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4GJXAG5NW259605,50525,50525,50525,Jeep,Wrangler,2022,Automatic,0 miles,South Point Dodge Chrysler Jeep,"5210 IH-35 South, Austin, TX 78745",30.2039191,-97.7612793
1C4HJXCN0NW196137,50535,50535,50934,Jeep,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121, Frisco, TX 75035",33.1009626,-96.7998519
1C4HJXCG4NW180850,50990,50990,51292,Jeep,Wrangler,2022,Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4HJXCN0NW196011,58305,58305,58305,Jeep,Wrangler,2022,Automatic,0 miles,South Point Dodge Chrysler Jeep,"5210 IH-35 South, Austin, TX 78745",30.2039191,-97.7612793
1C4HJXDG9NW120514,51870,51870,51870,Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4HJXDN2NW231419,39565,36465,36465,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN9NW231417,39565,36465,36465,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDNXNW252230,42370,39270,39270,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN1NW243593,42715,39615,39615,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDNXNW252227,42765,39665,39665,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN3NW252232,42765,41609,41609,Jeep,Wrangler,2022,Automatic,1 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDG1NW240629,42985,39885,39885,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN5NW243595,43065,39965,39965,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN1NW253881,40060,40060,40259,Jeep,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35, San Antonio, TX 78233",29.5474868,-98.3631077
1C4HJXDN3NW253882,40060,40060,40259,Jeep,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35, San Antonio, TX 78233",29.5474868,-98.3631077
1C4JJXP64NW275797,58280,54880,54880,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP60NW275795,58885,55485,55485,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP69NW275794,59280,55880,55880,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP62NW177898,57085,57085,57085,Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXP64NW205281,58975,57475,57475,Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP65NW197997,59380,57880,57880,Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP66NW227976,59475,57975,57975,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP62NW227974,59475,57975,57975,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP65NW114696,58230,58230,58230,Jeep,Wrangler,2022,8 Speed Automatic,10 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP67NW197998,59775,58275,58275,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP66NW227931,58380,58380,58380,Jeep,Wrangler,2022,8 Speed Automatic,11 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP63NW114695,58625,58625,58625,Jeep,Wrangler,2022,Automatic,10 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP64NW278232,60385,58885,58885,Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP60NW279829,60470,58970,58970,Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP60NW177883,58580,58580,59026,Jeep,Wrangler,2022,Automatic,25 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXP6XNW198191,59070,59070,59070,Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP61NW198189,59070,59070,59070,Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP66NW218825,60730,59230,59230,Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP63NW198467,59350,59350,59350,Jeep,Wrangler,2022,Automatic,0 miles,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP69NW229317,57480,59480,59480,Jeep,Wrangler,2022,Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP61NW179058,59675,59675,59675,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP63NW136907,59770,59770,59770,Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXP69NW276427,59870,59870,59870,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP66NW198186,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy, Pasadena, TX 77503",29.7103761,-95.1483381
1C4JJXP6XNW179060,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP63NW179059,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP66NW179055,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW179057,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP64NW179054,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP68NW179056,60070,60070,60070,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP64NW198395,60080,60080,60080,Jeep,Wrangler,2022,Automatic,11 miles,Momentum Chrysler Dodge Jeep Ram,"3704 NE I 10 Frontage Rd, Sealy, TX 77474",29.7762388,-96.1274347
1C4JJXP67NW229509,60250,60250,60250,Jeep,Wrangler,2022,Automatic,10 miles,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy, Pasadena, TX 77503",29.7103761,-95.1483381
1C4JJXP63NW229314,58280,60280,60280,Jeep,Wrangler,2022,Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP60NW229321,58280,60280,60280,Jeep,Wrangler,2022,Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP61NW229313,58280,60280,60280,Jeep,Wrangler,2022,Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP60NW229318,58280,60280,60280,Jeep,Wrangler,2022,8 Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP69NW229320,58280,60280,60280,Jeep,Wrangler,2022,8 Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP67NW268021,61855,60355,60355,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP6XNW229956,60645,60645,60645,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP68NW229955,60645,60645,60645,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP69NW272149,60730,60730,60730,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW205396,60770,60770,60770,Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP62NW229255,60940,60940,60940,Jeep,Wrangler,2022,Automatic,0 miles,Gillman Jeep,"10575 W Sam Houston Pkwy S, Houston, TX 77099",29.6666254,-95.5585695
1C4JJXP69NW278551,61860,61860,61860,Jeep,Wrangler,2022,Automatic,0 miles,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP60NW213734,59965,61965,61965,Jeep,Wrangler,2022,Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP69NW213733,59965,61965,61965,Jeep,Wrangler,2022,Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXR68NW198655,65725,62325,62325,Jeep,Wrangler,2022,Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP65NW153563,61935,61935,62381,Jeep,Wrangler,2022,Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXP62NW229319,57480,62480,62480,Jeep,Wrangler,2022,Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP62NW279752,62860,62860,62860,Jeep,Wrangler,2022,Automatic,0 miles,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP61NW213709,61075,63075,63075,Jeep,Wrangler,2022,Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP63NW206339,63075,63075,63075,Jeep,Wrangler,2022,Automatic,0 miles,Yaklin Chrysler Dodge Jeep Ram of Angleton,"1212 S Velasco St, Angleton, TX 77515",29.1479516,-95.4307369
1C4JJXR69NW107831,63170,63170,63170,Jeep,Wrangler,2022,Automatic,0 miles,Gillman Jeep,"10575 W Sam Houston Pkwy S, Houston, TX 77099",29.6666254,-95.5585695
1C4JJXP68NW213707,61925,63925,63925,Jeep,Wrangler,2022,Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP6XNW269759,62550,64550,64550,Jeep,Wrangler,2022,Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP65NW179192,60425,64900,64900,Jeep,Wrangler,2022,Automatic,4 miles,Crossroads Dodge Chrysler Jeep Ram,"320 Highway 146 Byp, Liberty, TX 77575",30.0588201,-94.7702507
1C4JJXP64NW274973,61165,65888,65888,Jeep,Wrangler,2022,Automatic,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
1C4JJXR63NW228340,66560,66560,66560,Jeep,Wrangler,2022,Automatic,0 miles,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXR66NW229451,67105,67105,67105,Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXR65NW205559,67560,67560,67560,Jeep,Wrangler,2022,Automatic,0 miles,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXR61NW152861,67935,67935,68381,Jeep,Wrangler,2022,Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXR67NW233797,68885,68885,68885,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW271396,64480,69888,69888,Jeep,Wrangler,2022,Automatic,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
1C4JJXR63NW236132,70030,70030,70030,Jeep,Wrangler,2022,Automatic,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXR6XNW229453,71195,71195,71195,Jeep,Wrangler,2022,8 Speed Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXR68NW267084,70935,72935,72935,Jeep,Wrangler,2022,8 Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXR64NW250458,70970,74888,74888,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
1C4JJXR68NW107870,70055,75888,75888,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
