VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
1FMDE5BH4NLA82318,"$52,955 ","$62,955 ","$63,162 ",,Bronco,2022,Automatic,10 miles,"J.O. Williams Motors, Inc.","419 E Broadway Ave. Gladewater, TX 75647"
1FMEE5DP6NLB31740,"$54,270 ","$54,270 ","$54,270 ",,Bronco,2022,,10 miles,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666"
1FMEE5DP4NLB25337,"$54,920 ","$54,920 ","$54,920 ",,Bronco,2022,,10 miles,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666"
1FMEE5DP3NLB09887,"$55,725 ","$55,725 ","$55,725 ",,Bronco,2022,,10 miles,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666"
1FMEE5DP4NLB30943,Not Provided,"$56,590 ","$56,795 ",,Bronco,2022,Automatic,3 miles,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328"
1FMEE5DP0NLA73236,"$57,235 ","$57,235 ","$57,235 ",,Bronco,2022,Automatic,0 miles,Chaparral Ford Inc.,"102 County Road 773 Devine, TX 78016"
1FMDE5BH2NLA83712,Not Provided,"$57,590 ","$57,590 ",,Bronco,2022,Automatic,269 miles,Carvana,"102 County Road 773 Devine, TX 78016"
1FMEE5DP1NLB31435,"$63,245 ","$63,245 ","$63,245 ",,Bronco,2022,,10 miles,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666"
1FMEE5DP3NLB32912,"$64,185 ","$64,185 ","$64,185 ",,Bronco,2022,,10 miles,Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666"
1FMEE5DP0NLA79277,Not Provided,"$68,990 ","$68,990 ",,Bronco,2022,Automatic,58 miles,Carvana,"2661 N Interstate 35 San Marcos, TX 78666"
3FTTW8F98NRA45047,Not Provided,"$41,990 ","$41,990 ",,Maverick,2022,8-Speed Automatic,193 miles,Carvana,"31480 IH 10 west Boerne, TX 78006"
3FTTW8F99NRA41511,Not Provided,"$42,990 ","$42,990 ",,Maverick,2022,8-Speed Automatic,229 miles,Carvana,"31480 IH 10 west Boerne, TX 78006"
3FTTW8F98NRA53665,Not Provided,"$43,590 ","$43,590 ",,Maverick,2022,8-Speed Automatic,58 miles,Carvana,"31480 IH 10 west Boerne, TX 78006"
1GT40FDA3NU100794,"$112,839 ","$112,839 ","$112,839 ",,Hummer,2022,Automatic,13 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA6NU100305,"$114,590 ","$114,590 ","$114,590 ",,Hummer,2022,Automatic,11 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDAXNU100517,"$115,139 ","$115,139 ","$115,139 ",,Hummer,2022,1-Speed Automatic,0 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA3NU100729,Not Provided,"$115,139 ","$115,139 ",,Hummer,2022,1-Speed Automatic,3 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA1NU100552,"$115,139 ","$115,139 ","$115,139 ",,Hummer,2022,Automatic,11 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA4NU100674,"$115,139 ","$115,139 ","$115,139 ",,Hummer,2022,Automatic,11 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA4NU100688,"$115,139 ","$115,139 ","$115,139 ",,Hummer,2022,Automatic,13 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
1GT40FDA3NU100407,"$115,439 ","$115,439 ","$115,439 ",,Hummer,2022,Automatic,5 miles,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074"
3GNKBERS8NS195163,"$46,015 ","$46,015 ","$46,015 ",,Blazer,2022,Automatic,5 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBCR47NS203520,"$37,855 ","$37,855 ","$37,855 ",,Blazer,2022,Automatic,5 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBERSXNS195987,"$46,370 ","$46,370 ","$46,370 ",,Blazer,2022,Automatic,10 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBCR40NS202323,"$35,350 ","$34,100 ","$34,100 ",,Blazer,2022,Automatic,0 miles,Neessen Chevrolet Buick GMC Truck,"2007 S US Highway 77 Byp Kingsville, TX 78363"
