Unnamed: 0,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
174,,Tundra,,,,,---,5TFVC5DB8NX002583,,"$78,426",Mike Calvert Toyota,"2333 South Loop West<br>Houston, TX 77054",,"$78,426",,,"$78,426","Houston, TX
5 mi away",Automatic,White (Wind Chill Prl),Black (Blk/Wht Semi-Aniline Lth),"17 MPG City
23 MPG Highway
19 MPG Combined",,437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,221616,New,Large Crew Cab,
175,,Tundra,,,,,248 miles,5TFLA5DB1NX019691,,"$78,990",Mike Calvert Toyota,"2333 South Loop West<br>Houston, TX 77054",,"$78,990",,,Not Provided,"Houston, TX
11 mi away",Automatic,Gray,Black,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,,New,"Large Crew Cab, Short Bed",
0,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,5 mi,1C4HJXDN8NW204340,NW204340,"$44,030",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport S 4WD,,,,,,,,,,,,,,,,,
1,Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,0 mi,1C4HJXDN6NW211996,NW211996,"$44,325",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
2,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,20 mi,1C4HJXDGXNW180141,52081768,"$44,530",Momentum Chrysler Dodge Jeep Ram,"3704 NE I 10 Frontage Rd Sealy, TX 77474",Sport S 4WD,,,,,,,,,,,,,,,,,
3,Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,0 mi,1C4HJXDNXNW190912,NW190912,"$44,670",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
4,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,0 mi,1C4HJXDG6NW257619,NW257619,"$44,680",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Willys 4WD,,,,,,,,,,,,,,,,,
5,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4HJXDG3NW165268,252016,"$45,120",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sport S 4WD,,,,,,,,,,,,,,,,,
6,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearlcoat,Black,0 mi,1C4HJXDN0NW238692,NW238692,"$45,170",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sport S 4WD,,,,,,,,,,,,,,,,,
7,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,5 mi,1C4HJXDG6NW196496,NW196496,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
8,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG5NW196490,NW196490,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
9,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG7NW196491,NW196491,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
10,Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDG9NW196492,NW196492,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
11,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,5 mi,1C4HJXDG8NW196497,NW196497,"$45,235",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
12,Jeep,Wrangler,2022.0,SUV / crossover,White,Black,48 mi,1C4HJXDM7NW252449,0J220745,"$45,330",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
13,Jeep,Wrangler,2022.0,SUV / crossover,Black,Black,1 mi,1C4HJXDM5NW252448,0J220706,"$45,725",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
